************* 开始测试，时间：2021-05-13 10:55:26.556 *************
************* 结束测试，时间：2021-05-13 10:57:41.702 *************

************* 开始测试，时间：2021-05-13 10:58:26.062 *************
2021-05-13 11:00:08.433：位置向量的角度：10.35	小车朝向角度：36.90308	Action：直接向前走
2021-05-13 11:00:09.142：位置向量的角度：10.35	小车朝向角度：39.72656	Action：直接向前走
2021-05-13 11:00:09.858：位置向量的角度：10.35	小车朝向角度：38.97949	Action：直接向前走
2021-05-13 11:00:10.583：位置向量的角度：359.4	小车朝向角度：40.53955	Action：右转
2021-05-13 11:00:11.307：位置向量的角度：359.4	小车朝向角度：36.62842	Action：右转
2021-05-13 11:00:12.025：位置向量的角度：359.4	小车朝向角度：340.90576	Action：直接向前走
2021-05-13 11:00:12.749：位置向量的角度：359.4	小车朝向角度：342.16919	Action：直接向前走
2021-05-13 11:00:13.467：位置向量的角度：359.4	小车朝向角度：347.57996	Action：直接向前走
2021-05-13 11:00:14.175：位置向量的角度：359.4	小车朝向角度：348.79944	Action：直接向前走
2021-05-13 11:00:14.895：位置向量的角度：359.4	小车朝向角度：352.81494	Action：直接向前走
2021-05-13 11:00:15.617：位置向量的角度：359.4	小车朝向角度：354.33105	Action：直接向前走
2021-05-13 11:00:16.342：位置向量的角度：359.4	小车朝向角度：354.23767	Action：直接向前走
2021-05-13 11:00:17.059：位置向量的角度：359.4	小车朝向角度：356.03394	Action：直接向前走
2021-05-13 11:00:17.767：位置向量的角度：359.4	小车朝向角度：355.84717	Action：直接向前走
2021-05-13 11:00:18.491：位置向量的角度：359.4	小车朝向角度：356.92932	Action：直接向前走
2021-05-13 11:00:19.226：位置向量的角度：359.4	小车朝向角度：359.01123	Action：直接向前走
2021-05-13 11:00:19.950：位置向量的角度：359.4	小车朝向角度：0.75256	Action：直接向前走
2021-05-13 11:00:20.675：位置向量的角度：359.4	小车朝向角度：4.03198	Action：直接向前走
2021-05-13 11:00:21.399：位置向量的角度：359.4	小车朝向角度：0.95581	Action：直接向前走
2021-05-13 11:00:22.117：位置向量的角度：359.4	小车朝向角度：2.58179	Action：直接向前走
2021-05-13 11:00:22.834：位置向量的角度：359.4	小车朝向角度：1.32385	Action：直接向前走
2021-05-13 11:00:23.558：位置向量的角度：359.4	小车朝向角度：0.32959	Action：直接向前走
2021-05-13 11:00:24.275：位置向量的角度：359.4	小车朝向角度：1.86218	Action：直接向前走
************* 结束测试，时间：2021-05-13 11:00:24.788 *************

************* 开始测试，时间：2021-05-13 11:00:49.027 *************
2021-05-13 11:00:54.486：位置向量的角度：83.34	小车朝向角度：226.6095	Action：原地右转
2021-05-13 11:00:55.209：位置向量的角度：29.52	小车朝向角度：184.16931	Action：原地右转
2021-05-13 11:00:55.941：位置向量的角度：35.31	小车朝向角度：169.65637	Action：原地右转
2021-05-13 11:00:56.661：位置向量的角度：35.31	小车朝向角度：36.9635	Action：直接向前走
2021-05-13 11:00:57.385：位置向量的角度：35.31	小车朝向角度：32.34924	Action：直接向前走
2021-05-13 11:00:58.110：位置向量的角度：35.31	小车朝向角度：30.50354	Action：直接向前走
2021-05-13 11:00:58.832：位置向量的角度：35.31	小车朝向角度：26.13098	Action：直接向前走
2021-05-13 11:00:59.544：位置向量的角度：35.31	小车朝向角度：19.35791	Action：直接向前走
2021-05-13 11:01:00.267：位置向量的角度：35.31	小车朝向角度：18.27026	Action：直接向前走
2021-05-13 11:01:00.977：位置向量的角度：35.31	小车朝向角度：16.07849	Action：直接向前走
2021-05-13 11:01:01.709：位置向量的角度：39.02	小车朝向角度：20.58838	Action：直接向前走
2021-05-13 11:01:02.427：位置向量的角度：32.96	小车朝向角度：18.81958	Action：直接向前走
2021-05-13 11:01:03.145：位置向量的角度：32.96	小车朝向角度：19.54468	Action：直接向前走
2021-05-13 11:01:03.860：位置向量的角度：32.96	小车朝向角度：19.30298	Action：直接向前走
2021-05-13 11:01:04.584：位置向量的角度：32.96	小车朝向角度：20.20935	Action：直接向前走
2021-05-13 11:01:05.297：位置向量的角度：32.96	小车朝向角度：22.20886	Action：直接向前走
2021-05-13 11:01:06.011：位置向量的角度：32.96	小车朝向角度：26.30676	Action：直接向前走
2021-05-13 11:01:06.734：位置向量的角度：32.96	小车朝向角度：28.95447	Action：直接向前走
2021-05-13 11:01:07.450：位置向量的角度：25.85	小车朝向角度：32.27234	Action：直接向前走
2021-05-13 11:01:08.168：位置向量的角度：29.54	小车朝向角度：38.85315	Action：直接向前走
2021-05-13 11:01:08.884：位置向量的角度：29.54	小车朝向角度：41.7041	Action：直接向前走
2021-05-13 11:01:09.608：位置向量的角度：29.54	小车朝向角度：49.44946	Action：直接向前走
2021-05-13 11:01:10.327：位置向量的角度：29.54	小车朝向角度：51.74561	Action：直接向前走
2021-05-13 11:01:11.043：位置向量的角度：20.56	小车朝向角度：56.41479	Action：右转
2021-05-13 11:01:11.768：位置向量的角度：20.56	小车朝向角度：41.00647	Action：直接向前走
2021-05-13 11:01:12.493：位置向量的角度：20.56	小车朝向角度：29.53674	Action：直接向前走
2021-05-13 11:01:13.218：位置向量的角度：20.56	小车朝向角度：29.95972	Action：直接向前走
2021-05-13 11:01:13.934：位置向量的角度：20.56	小车朝向角度：30.71228	Action：直接向前走
2021-05-13 11:01:14.645：位置向量的角度：20.56	小车朝向角度：36.39221	Action：直接向前走
2021-05-13 11:01:15.368：位置向量的角度：20.56	小车朝向角度：38.14453	Action：直接向前走
2021-05-13 11:01:16.102：位置向量的角度：10.35	小车朝向角度：40.86914	Action：右转
2021-05-13 11:01:16.819：位置向量的角度：12.48	小车朝向角度：32.49756	Action：直接向前走
2021-05-13 11:01:17.544：位置向量的角度：12.48	小车朝向角度：11.11816	Action：直接向前走
2021-05-13 11:01:18.269：位置向量的角度：12.48	小车朝向角度：14.26575	Action：直接向前走
2021-05-13 11:01:18.993：位置向量的角度：12.48	小车朝向角度：12.92542	Action：直接向前走
2021-05-13 11:01:19.711：位置向量的角度：12.48	小车朝向角度：17.13318	Action：直接向前走
2021-05-13 11:01:20.428：位置向量的角度：12.48	小车朝向角度：19.20959	Action：直接向前走
2021-05-13 11:01:21.152：位置向量的角度：15.57	小车朝向角度：22.06055	Action：直接向前走
2021-05-13 11:01:21.877：位置向量的角度：15.57	小车朝向角度：23.80188	Action：直接向前走
2021-05-13 11:01:22.602：位置向量的角度：359.4	小车朝向角度：23.13721	Action：直接向前走
2021-05-13 11:01:23.319：位置向量的角度：359.4	小车朝向角度：26.5155	Action：直接向前走
2021-05-13 11:01:24.036：位置向量的角度：359.4	小车朝向角度：29.33899	Action：直接向前走
2021-05-13 11:01:24.752：位置向量的角度：359.4	小车朝向角度：31.7395	Action：右转
2021-05-13 11:01:25.461：位置向量的角度：359.4	小车朝向角度：29.94873	Action：右转
2021-05-13 11:01:26.178：位置向量的角度：359.4	小车朝向角度：334.96216	Action：直接向前走
2021-05-13 11:01:26.894：位置向量的角度：359.4	小车朝向角度：334.64905	Action：直接向前走
2021-05-13 11:01:27.611：位置向量的角度：359.4	小车朝向角度：336.18164	Action：直接向前走
2021-05-13 11:01:28.336：位置向量的角度：359.4	小车朝向角度：336.57715	Action：直接向前走
2021-05-13 11:01:29.052：位置向量的角度：359.4	小车朝向角度：338.02734	Action：直接向前走
2021-05-13 11:01:29.769：位置向量的角度：359.4	小车朝向角度：340.3125	Action：直接向前走
2021-05-13 11:01:30.503：位置向量的角度：359.4	小车朝向角度：344.94324	Action：直接向前走
2021-05-13 11:01:31.225：位置向量的角度：359.4	小车朝向角度：345.75073	Action：直接向前走
2021-05-13 11:01:31.953：位置向量的角度：359.4	小车朝向角度：344.32251	Action：直接向前走
2021-05-13 11:01:32.670：位置向量的角度：359.4	小车朝向角度：343.49304	Action：直接向前走
2021-05-13 11:01:33.179：Action：原地不动
2021-05-13 11:01:33.703：Action：原地不动
2021-05-13 11:01:34.219：Action：原地不动
2021-05-13 11:01:34.728：Action：原地不动
2021-05-13 11:01:35.236：Action：原地不动
2021-05-13 11:01:35.744：Action：原地不动
2021-05-13 11:01:36.253：Action：原地不动
2021-05-13 11:01:36.770：Action：原地不动
2021-05-13 11:01:37.278：Action：原地不动
2021-05-13 11:01:37.795：Action：原地不动
2021-05-13 11:01:38.315：Action：原地不动
2021-05-13 11:01:38.828：Action：原地不动
2021-05-13 11:01:39.345：Action：原地不动
2021-05-13 11:01:39.862：Action：原地不动
2021-05-13 11:01:40.378：Action：原地不动
2021-05-13 11:01:40.886：Action：原地不动
2021-05-13 11:01:41.398：Action：原地不动
2021-05-13 11:01:41.904：Action：原地不动
2021-05-13 11:01:42.628：位置向量的角度：359.4	小车朝向角度：341.51001	Action：直接向前走
************* 结束测试，时间：2021-05-13 11:01:43.152 *************

